game_id,year,game_site,opp_rank,opp,opp_conf,result,pts_scored,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,tot_plays,tot_yds,avg_play,1st_downs,tot_fum,tot_int,tot_turn
7.07,2013,away,NULL,Kansas,Big 12,W,34,16,26,61.5,180,3,45,235,5.2,1,71,415,5.8,22,1,1,2
7.08,2013,Big 12,10,Texas Tech,Big 12,W,38,14,22,63.6,249,2,50,277,5.5,3,72,526,7.3,25,1,0,1
7.09,2013,away,5,Baylor,Big 12,L,12,15,35,42.9,150,1,34,87,2.6,0,69,237,3.4,16,0,2,2
7.1,2013,Big 12,NULL,Iowa State,Big 12,W,48,12,23,52.2,118,1,44,405,9.2,4,67,523,7.8,21,0,0,0
7.11,2013,away,NULL,Kansas State,Big 12,W,41,14,21,66.7,171,1,52,301,5.8,3,73,472,6.5,22,0,1,1
7.12,2013,away,6,Oklahoma State,Big 12,W,33,16,33,48.5,193,2,40,165,4.1,0,73,358,4.9,19,0,1,1
7.13,2013,neutral,3,Alabama,SEC,W,45,32,44,72.7,348,4,30,81,2.7,1,74,429,5.8,24,0,1,1
8.01,2012,away,NULL,Texas-El Paso,CUSA,W,24,21,36,58.3,222,2,37,205,5.5,1,73,427,5.8,19,0,0,0
8.02,2012,home,NULL,Florida A&M,FCS,W,69,23,33,69.7,313,2,41,349,8.5,8,74,662,8.9,33,1,1,2
8.03,2012,home,15,Kansas State,Big 12,L,19,28,43,65.1,299,1,27,87,3.2,1,70,386,5.5,24,2,1,3
8.04,2012,away,NULL,Texas Tech,Big 12,W,41,25,40,62.5,259,2,29,121,4.2,2,69,380,5.5,22,1,0,1
8.05,2012,neutral,15,Texas,Big 12,W,63,22,39,56.4,334,2,51,343,6.7,6,90,677,7.5,30,0,1,1
8.06,2012,home,NULL,Kansas,Big 12,W,52,22,34,64.7,313,3,18,93,5.2,2,52,406,7.8,18,1,0,1
8.07,2012,home,5,Notre Dame,Independent,L,13,36,52,69.2,364,0,24,15,0.6,1,76,379,5,22,0,1,1
8.08,2012,away,NULL,Iowa State,Big 12,W,35,32,45,71.1,405,4,40,188,4.7,1,85,593,7,34,0,2,2
8.09,2012,home,NULL,Baylor,Big 12,W,42,25,36,69.4,277,2,40,183,4.6,4,76,460,6.1,28,1,1,2
8.1,2012,away,NULL,West Virginia,Big 12,W,50,38,51,74.5,554,6,31,108,3.5,1,82,662,8.1,30,1,1,2
8.11,2012,home,22,Oklahoma State,Big 12,W,51,47,73,64.4,512,3,30,106,3.5,2,103,618,6,44,1,1,2
8.12,2012,away,NULL,Texas Christian,Big 12,W,24,22,40,55,244,2,32,177,5.5,1,72,421,5.8,22,1,1,2
8.13,2012,neutral,10,Texas A&M,SEC,L,13,35,49,71.4,278,1,34,123,3.6,0,83,401,4.8,27,0,1,1
9.01,2011,home,NULL,Tulsa,CUSA,W,47,39,54,72.2,417,1,46,246,5.3,5,100,663,6.6,34,1,0,1
9.02,2011,away,5,Florida State,ACC,W,23,18,27,66.7,199,1,39,111,2.8,1,66,310,4.7,20,0,2,2
9.03,2011,home,NULL,Missouri,Big 12,W,38,35,48,72.9,448,3,39,144,3.7,2,87,592,6.8,32,0,2,2
9.04,2011,home,NULL,Ball State,MAC,W,62,27,39,69.2,447,5,38,208,5.5,2,77,655,8.5,28,1,1,2
9.05,2011,neutral,11,Texas,Big 12,W,55,31,52,59.6,367,3,19,86,4.5,1,71,453,6.4,22,1,0,1
9.06,2011,away,NULL,Kansas,Big 12,W,47,29,48,60.4,363,3,40,247,6.2,2,88,610,6.9,29,2,1,3
9.07,2011,home,NULL,Texas Tech,Big 12,L,38,30,55,54.5,412,5,25,124,5,0,80,536,6.7,24,1,1,2
9.08,2011,away,10,Kansas State,Big 12,W,58,37,50,74,520,5,25,170,6.8,3,75,690,9.2,34,0,2,2
